0 [(3060, 2244) (3240, 2423)] 0.5178036476149392 0
0 [(6874, 2239) (7089, 2454)] 0.5598516890809825 0
0 [(1107, 2384) (1256, 2533)] 0.7997365879643125 1
1 [(3060, 2244) (3240, 2423)] 0.5049546303618998 0
1 [(6874, 2239) (7089, 2454)] 0.5893504608048478 0
1 [(1090, 2364) (1269, 2543)] 0.807330703153721 1
2 [(3060, 2244) (3240, 2423)] 0.48059647567400143 0
2 [(6873, 2229) (7131, 2487)] 0.4826136739999105 0
2 [(1090, 2364) (1269, 2543)] 0.7589418917666636 1
3 [(6922, 2263) (7136, 2478)] 0.3700157646554402 0
3 [(3060, 2244) (3240, 2423)] 0.48680737602438495 0
3 [(1090, 2364) (1269, 2543)] 0.7889713702580924 1
4 [(6901, 2229) (7159, 2487)] 0.3059898053783748 0
4 [(3060, 2244) (3240, 2423)] 0.4829939451406096 0
4 [(1090, 2364) (1269, 2543)] 0.8112223512129197 1
5 [(3060, 2244) (3240, 2423)] 0.4862038034374415 0
5 [(6945, 2263) (7160, 2478)] 0.3191786566542655 0
5 [(1090, 2364) (1269, 2543)] 0.8051916810172437 1
6 [(6945, 2263) (7160, 2478)] 0.3182467888335351 0
6 [(3060, 2244) (3240, 2423)] 0.523960511297866 0
6 [(1090, 2364) (1269, 2543)] 0.7815666317497512 1
7 [(6945, 2263) (7160, 2478)] 0.3370614451273119 0
7 [(3060, 2244) (3240, 2423)] 0.5164168261477362 0
7 [(1090, 2364) (1269, 2543)] 0.7589418917666636 1
8 [(6930, 2229) (7188, 2487)] 0.32487141374719036 0
8 [(3060, 2244) (3240, 2423)] 0.5333214937802248 0
8 [(1090, 2364) (1269, 2543)] 0.7822866593024226 1
9 [(6969, 2263) (7184, 2478)] 0.27735965925426154 0
9 [(3060, 2244) (3240, 2423)] 0.5239037060970027 0
9 [(1070, 2364) (1249, 2543)] 0.7922434466920147 1
10 [(6969, 2263) (7184, 2478)] 0.3206339465740958 0
10 [(3052, 2216) (3267, 2431)] 0.5502637133654791 0
